# MANUALLY MANAGED - this file was INITIALLY GENERATED by homm3.carve
# (provenance below) and is hand-owned after admission: boundary
# corrections are edited directly into these rows; do not regenerate
# over hand edits.
# generator: homm3.carve.relocs emit-relocs
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# per-site evidence for retail-relocs.tsv; dispositions explained there
site_rva	value	channel	detail	target_class	ctx	disposition
0x4c1a4	0x44bb49	switch	table@0x4c1a4	code	-	kept
0x4c1a8	0x44bb58	switch	table@0x4c1a4	code	-	kept
0x4c1ac	0x44bb7b	switch	table@0x4c1a4	code	-	kept
0x4c1c6	0x628480	code	push	code	imm	kept
0x4c1f7	0x6a5384	code	mov	data	mem	kept
0x4c24a	0x660b68	code	mov	data	mem	kept
0x4c24f	0x6a5388	code	mov	data	mem	kept
0x4c2ac	0x63a60c	code	mov	data	mem	kept
0x4c2db	0x6994e8	code	mov	data	mem	kept
0x4c2ff	0x6747b0	code	mov	data	mem	kept
0x4c31b	0x44c57c	code	mov	code	mem	kept
0x4c322	0x44c574	code	jmp	code	mem	kept
0x4c32b	0x6a538c	code	mov	data	mem	kept
0x4c3a6	0x6747b0	code	mov	data	mem	kept
0x4c3b8	0x691210	code	mov	data	imm	kept
0x4c3be	0x6a5840	code	mov	data	mem	kept
0x4c3d1	0x63a60c	code	mov	data	mem	kept
0x4c405	0x66ce40	code	mov	data	mem	kept
0x4c40b	0x66ce44	code	mov	data	mem	kept
0x4c431	0x660b40	code	push	literal-start	imm	kept
0x4c440	0x63a60c	code	mov	data	mem	kept
0x4c478	0x6747b0	code	mov	data	mem	kept
0x4c487	0x660b50	code	push	literal-start	imm	kept
0x4c496	0x63a60c	code	mov	data	mem	kept
0x4c4c6	0x6a584c	code	mov	data	mem	kept
0x4c4da	0x63a60c	code	mov	data	mem	kept
0x4c52b	0x63a60c	code	mov	data	mem	kept
0x4c574	0x44c34e	switch	table@0x4c574	code	-	kept
0x4c578	0x44c326	switch	table@0x4c574	code	-	kept
0x4c595	0x6747b0	code	mov	data	mem	kept
0x4c5a9	0x6994e8	code	mov	data	mem	kept
0x4c5e1	0x643698	code	mov	data	mem	kept
0x4c702	0x6abaa0	code	mov	data	mem	kept
0x4c710	0x6abaa0	code	mov	data	mem	kept
0x4c715	0x404df0	code	push	code	imm	kept
0x4c726	0x6284a0	code	push	code	imm	kept
0x4c769	0x65f450	code	mov	literal-start	imm	kept
0x4c782	0x65f450	code	push	literal-start	imm	kept
0x4c79f	0x691210	code	mov	data	imm	kept
0x4c7bc	0x63a60c	code	mov	data	mem	kept
0x4c7d2	0x647fc0	code	push	data	imm	kept
0x4c7de	0x6455cc	code	mov	data	imm	kept
0x4c836	0x6284c0	code	push	code	imm	kept
0x4c889	0x65f450	code	mov	literal-start	imm	kept
0x4c8a2	0x65f450	code	push	literal-start	imm	kept
0x4c8bf	0x691210	code	mov	data	imm	kept
0x4c8dc	0x63a60c	code	mov	data	mem	kept
0x4c8f2	0x647fc0	code	push	data	imm	kept
0x4c8fe	0x6455cc	code	mov	data	imm	kept
0x4c99b	0x6938d8	code	mov	data	imm	kept
0x4c9d2	0x6938f0	code	mov	data	imm	kept
0x4ca0a	0x693908	code	mov	data	imm	kept
0x4ca39	0x693920	code	mov	data	imm	kept
0x4ca80	0x693938	code	mov	data	imm	kept
0x4cab8	0x693950	code	mov	data	imm	kept
0x4cae7	0x693968	code	mov	data	imm	kept
0x4cb1c	0x693980	code	mov	data	imm	kept
0x4cb4b	0x693998	code	mov	data	imm	kept
0x4cb81	0x6939b0	code	mov	data	imm	kept
0x4cbba	0x6939c8	code	mov	data	imm	kept
0x4cbe9	0x6939e0	code	mov	data	imm	kept
0x4cc1a	0x693898	code	mov	data	mem	kept
0x4cc2e	0x69389c	code	mov	data	mem	kept
0x4cc3c	0x6938a0	code	mov	data	mem	kept
0x4cc56	0x6938a4	code	mov	data	mem	kept
0x4cc6a	0x6938a8	code	mov	data	mem	kept
0x4cc78	0x6938ac	code	mov	data	mem	kept
0x4cc90	0x6938b0	code	mov	data	mem	kept
0x4ccab	0x6938b4	code	mov	data	mem	kept
0x4ccbd	0x6938b8	code	mov	data	mem	kept
0x4ccdb	0x6938bc	code	mov	data	mem	kept
0x4ccf2	0x6938c0	code	mov	data	mem	kept
0x4cd00	0x6938c4	code	mov	data	mem	kept
0x4cd1a	0x6938c8	code	mov	data	mem	kept
0x4cd2e	0x6938cc	code	mov	data	mem	kept
0x4cd3d	0x6938d0	code	mov	data	mem	kept
0x4cd56	0x6284f0	code	push	code	imm	kept
0x4cd6f	0x660b80	code	mov	literal-start	imm	kept
0x4ce09	0x6938d4	code	mov	data	mem	kept
0x4ce18	0x6938d4	code	mov	data	mem	kept
0x4ce27	0x44d360	code	push	code	imm	kept
0x4ce2d	0x694c90	code	mov	data	mem	kept
0x4ce32	0x694c94	code	mov	data	mem	kept
0x4ce3f	0x694c94	code	mov	data	mem	kept
0x4ce62	0x6939f8	code	mov	data	imm	kept
0x4cef9	0x63b940	code	mov	data	imm	kept
0x4cf47	0x693898	code	mov	data	imm	kept
0x4cffc	0x63b98c	code	mov	data	imm	kept
0x4d009	0x63b998	code	cmp	data	imm	kept
0x4d00f	0x693a14	code	mov	data	mem	kept
0x4d017	0x63b998	code	mov	data	imm	kept
0x4d024	0x63b9bc	code	cmp	data	imm	kept
0x4d02a	0x693a15	code	mov	data	mem	kept
0x4d03b	0x660b6c	code	mov	data	mem	kept
0x4d04e	0x6939f8	code	add	data	imm	kept
0x4d09c	0x6939f8	code	add	data	imm	kept
0x4d0cd	0x660b70	code	mov	literal-start	imm	kept
0x4d137	0x6938d4	code	mov	data	mem	kept
0x4d147	0x6938d4	code	mov	data	mem	kept
0x4d156	0x44d340	code	push	code	imm	kept
0x4d15c	0x694c98	code	mov	data	mem	kept
0x4d161	0x694c9c	code	mov	data	mem	kept
0x4d16f	0x694c9c	code	mov	data	mem	kept
0x4d196	0x694bfc	code	mov	data	imm	kept
0x4d1dd	0x694c94	code	cmp	data	imm	kept
0x4d1f9	0x693898	code	test	data	mem	kept
0x4d20a	0x694c94	code	cmp	data	imm	kept
0x4d23f	0x65f450	code	mov	literal-start	imm	kept
0x4d273	0x65f450	code	mov	literal-start	imm	kept
0x4d29b	0x691210	code	mov	data	imm	kept
0x4d2ba	0x63a60c	code	mov	data	mem	kept
0x4d2d5	0x647fc0	code	push	data	imm	kept
0x4d2dd	0x6455cc	code	mov	data	imm	kept
0x4d341	0x694c98	code	mov	data	mem	kept
0x4d34a	0x694c9c	code	mov	data	mem	kept
0x4d361	0x694c90	code	mov	data	mem	kept
0x4d36a	0x694c94	code	mov	data	mem	kept
0x4d406	0x628510	code	push	code	imm	kept
0x4d425	0x65f450	code	mov	literal-start	imm	kept
0x4d457	0x65f450	code	mov	literal-start	imm	kept
0x4d480	0x691210	code	mov	data	imm	kept
0x4d49d	0x63a60c	code	mov	data	mem	kept
0x4d4b3	0x647fc0	code	push	data	imm	kept
0x4d4bf	0x6455cc	code	mov	data	imm	kept
0x4d512	0x6abaa0	code	mov	data	mem	kept
0x4d520	0x6abaa0	code	mov	data	mem	kept
0x4d525	0x404df0	code	push	code	imm	kept
0x4d53b	0x660b90	code	mov	literal-start	imm	kept
0x4d547	0x63b9bc	code	mov	data	imm	kept
0x4d582	0x6abaa0	code	mov	data	mem	kept
0x4d590	0x6abaa0	code	mov	data	mem	kept
0x4d595	0x404df0	code	push	code	imm	kept
0x4d5d3	0x660b98	code	mov	literal-interior	imm	kept
0x4d5f4	0x69923c	code	mov	data	mem	kept
0x4d605	0x69fde4	code	mov	data	mem	kept
0x4d613	0x69fe28	code	mov	data	mem	kept
0x4d62c	0x69fde4	code	mov	data	mem	kept
0x4d639	0x69fe34	code	mov	data	mem	kept
0x4d64b	0x69fde0	code	mov	data	mem	kept
0x4d664	0x69fe34	code	mov	data	mem	kept
0x4d676	0x69fe28	code	mov	data	mem	kept
0x4d68a	0x69fe48	code	mov	data	mem	kept
0x4d692	0x63a1a0	code	call	data	mem	kept
0x4d698	0x6993c4	code	mov	data	mem	kept
0x4d6a2	0x69fe48	code	mov	data	mem	kept
0x4d6b0	0x63a390	code	call	data	mem	kept
0x4d6bc	0x69fde0	code	mov	data	mem	kept
0x4d6d0	0x69fe4c	code	mov	data	mem	kept
0x4d6d8	0x63a1a0	code	call	data	mem	kept
0x4d6de	0x6993c4	code	mov	data	mem	kept
0x4d6e8	0x69fe4c	code	mov	data	mem	kept
0x4d6f6	0x63a390	code	call	data	mem	kept
0x4d702	0x69fe50	code	mov	data	mem	kept
0x4d70b	0x69fe3c	code	mov	data	mem	kept
0x4d719	0x69fe2c	code	mov	data	mem	kept
0x4d732	0x69fe3c	code	mov	data	mem	kept
0x4d740	0x69923c	code	mov	data	mem	kept
0x4d74e	0x69fde4	code	mov	data	mem	kept
0x4d75f	0x69fe28	code	mov	data	mem	kept
0x4d778	0x69fde4	code	mov	data	mem	kept
0x4d78e	0x69fe2c	code	mov	data	mem	kept
0x4d7a2	0x69fe50	code	mov	data	mem	kept
0x4d7aa	0x63a1a0	code	call	data	mem	kept
0x4d7b0	0x6993c4	code	mov	data	mem	kept
0x4d7ba	0x69fe50	code	mov	data	mem	kept
0x4d7c8	0x63a390	code	call	data	mem	kept
0x4d7d5	0x69fe28	code	mov	data	mem	kept
0x4d7e8	0x69fe48	code	mov	data	mem	kept
0x4d7f0	0x63a1a0	code	call	data	mem	kept
0x4d7f6	0x6993c4	code	mov	data	mem	kept
0x4d801	0x69fe48	code	mov	data	mem	kept
0x4d80f	0x63a390	code	call	data	mem	kept
0x4d834	0x699290	code	mov	data	mem	kept
0x4d846	0x6993c4	code	mov	data	mem	kept
0x4d850	0x698764	code	mov	data	mem	kept
0x4d856	0x694d58	code	mov	data	mem	kept
0x4d864	0x694d58	code	mov	data	mem	kept
0x4d86f	0x6aacc0	code	mov	data	mem	kept
0x4d876	0x63a398	code	call	data	mem	kept
0x4d87c	0x694cd4	code	mov	data	mem	kept
0x4d887	0x694ca0	code	mov	data	mem	kept
0x4d88d	0x694cdc	code	mov	data	mem	kept
0x4d893	0x6839c4	code	mov	data	mem	kept
0x4d899	0x691210	code	cmp	data	imm	kept
0x4d8a0	0x400000	code	mov	unmapped	imm	dropped-unmapped
0x4d8ac	0x694cb4	code	mov	data	mem	kept
0x4d8b3	0x694cb0	code	mov	data	mem	kept
0x4d8bd	0x63a38c	code	mov	data	mem	kept
0x4d8c8	0x694cb0	code	mov	data	mem	kept
0x4d8ce	0x63a394	code	mov	data	mem	kept
0x4d8d6	0x694cb4	code	mov	data	mem	kept
0x4d8e4	0x694cb4	code	mov	data	mem	kept
0x4d8ef	0x6839cb	code	mov	data	mem	kept
0x4d8f5	0x6839c0	code	mov	data	mem	kept
0x4d8ff	0x400000	code	and	unmapped	imm	dropped-unmapped
0x4d90b	0x694cb0	code	mov	data	mem	kept
0x4d912	0x694cb4	code	mov	data	mem	kept
0x4d91f	0x63a38c	code	call	data	mem	kept
0x4d925	0x694cb4	code	mov	data	mem	kept
0x4d92c	0x63a394	code	call	data	mem	kept
0x4d933	0x694cb4	code	mov	data	mem	kept
0x4d939	0x694cb0	code	mov	data	mem	kept
0x4d93f	0x694cdc	code	mov	data	mem	kept
0x4d945	0x694d5c	code	mov	data	mem	kept
0x4d94b	0x694ce0	code	mov	data	mem	kept
0x4d95f	0x694ca8	code	mov	data	mem	kept
0x4d978	0x694cd8	code	mov	data	mem	kept
0x4d97d	0x699280	code	mov	data	mem	kept
0x4d983	0x694cc4	code	mov	data	mem	kept
0x4d989	0x694cc8	code	mov	data	mem	kept
0x4d98f	0x694ccc	code	mov	data	mem	kept
0x4d995	0x694cd0	code	mov	data	mem	kept
0x4d9ab	0x694cb8	code	mov	data	mem	kept
0x4d9b9	0x694cbc	code	mov	data	mem	kept
0x4d9c5	0x694d5c	code	mov	data	mem	kept
0x4d9cb	0x694cc0	code	mov	data	mem	kept
0x4d9e1	0x694cb0	code	mov	data	mem	kept
0x4d9e7	0x694d5c	code	mov	data	mem	kept
0x4d9fc	0x63a3a0	code	call	data	mem	kept
0x4da01	0x694cb0	code	mov	data	mem	kept
0x4da08	0x694cb4	code	mov	data	mem	kept
0x4da1d	0x63a3a0	code	call	data	mem	kept
0x4da22	0x694cb4	code	mov	data	mem	kept
0x4da28	0x694ca0	code	mov	data	mem	kept
0x4da2e	0x694cc0	code	mov	data	mem	kept
0x4da35	0x694cbc	code	mov	data	mem	kept
0x4da40	0x694cb8	code	mov	data	mem	kept
0x4da49	0x63a39c	code	call	data	mem	kept
0x4da51	0x694cb0	code	mov	data	mem	kept
0x4da60	0x63a3a4	code	call	data	mem	kept
0x4da65	0x694cb0	code	mov	data	mem	kept
0x4da6c	0x63a3a0	code	call	data	mem	kept
0x4da72	0x694ca0	code	mov	data	mem	kept
0x4da78	0x694cc0	code	mov	data	mem	kept
0x4da7d	0x694cbc	code	mov	data	mem	kept
0x4da84	0x694cb8	code	mov	data	mem	kept
0x4da8f	0x694cb0	code	mov	data	mem	kept
0x4da98	0x63a39c	code	call	data	mem	kept
0x4daa4	0x694cb0	code	mov	data	mem	kept
0x4daaf	0x694cb4	code	mov	data	mem	kept
0x4dabc	0x694d5c	code	mov	data	mem	kept
0x4dacb	0x63a3b0	code	call	data	mem	kept
0x4dad8	0x694cdc	code	mov	data	mem	kept
0x4dade	0x694ce0	code	mov	data	mem	kept
0x4daed	0x63a3a0	code	mov	data	mem	kept
0x4daf5	0x694ca0	code	mov	data	mem	kept
0x4dafb	0x694cc0	code	mov	data	mem	kept
0x4db01	0x694cbc	code	mov	data	mem	kept
0x4db07	0x63a39c	code	mov	data	mem	kept
0x4db0d	0x694cb8	code	mov	data	mem	kept
0x4db2a	0x694cd8	code	mov	data	mem	kept
0x4db37	0x694cb0	code	mov	data	mem	kept
0x4db44	0x694cb4	code	mov	data	mem	kept
0x4db51	0x694cd4	code	mov	data	mem	kept
0x4db5b	0x6839ca	code	mov	data	mem	kept
0x4db65	0x699280	code	mov	data	mem	kept
0x4db76	0x6993c4	code	mov	data	mem	kept
0x4db80	0x694cb0	code	mov	data	mem	kept
0x4db87	0x63a394	code	call	data	mem	kept
0x4db8c	0x694cd4	code	mov	data	mem	kept
0x4db92	0x694cb4	code	mov	data	mem	kept
0x4db98	0x694cb0	code	mov	data	mem	kept
0x4dba6	0x6839c9	code	mov	data	mem	kept
0x4dbb7	0x694ca0	code	mov	data	mem	kept
0x4dbbc	0x694cc0	code	mov	data	mem	kept
0x4dbc2	0x694cbc	code	mov	data	mem	kept
0x4dbc9	0x694cb8	code	mov	data	mem	kept
0x4dbd9	0x699280	code	mov	data	mem	kept
0x4dbf1	0x694ce0	code	mov	data	mem	kept
0x4dbf9	0x694ce8	code	push	data	imm	kept
0x4dc00	0x63a3ac	code	call	data	mem	kept
0x4dc05	0x694cb0	code	mov	data	mem	kept
0x4dc0b	0x63a394	code	mov	data	mem	kept
0x4dc11	0x63a38c	code	mov	data	mem	kept
0x4dc21	0x694cb0	code	mov	data	mem	kept
0x4dc29	0x694cb4	code	mov	data	mem	kept
0x4dc38	0x694cb4	code	mov	data	mem	kept
0x4dc40	0x694cd4	code	mov	data	mem	kept
0x4dc46	0x694cb4	code	mov	data	mem	kept
0x4dc4c	0x694cb0	code	mov	data	mem	kept
0x4dc52	0x694cdc	code	mov	data	mem	kept
0x4dc5b	0x694d5c	code	mov	data	mem	kept
0x4dc62	0x694ce0	code	mov	data	mem	kept
0x4dc6a	0x6839ca	code	mov	data	mem	kept
0x4dc74	0x699280	code	mov	data	mem	kept
0x4dc88	0x699280	code	mov	data	mem	kept
0x4dca4	0x63a3a8	code	call	data	mem	kept
0x4dca9	0x694ca8	code	mov	data	mem	kept
0x4dcc1	0x694cb0	code	mov	data	mem	kept
0x4dccb	0x63a38c	code	mov	data	mem	kept
0x4dcd2	0x63a394	code	mov	data	mem	kept
0x4dce0	0x694cb0	code	mov	data	mem	kept
0x4dce8	0x694cb4	code	mov	data	mem	kept
0x4dcf7	0x694cb4	code	mov	data	mem	kept
0x4dd01	0x694cb4	code	mov	data	mem	kept
0x4dd07	0x694cb0	code	mov	data	mem	kept
0x4dd0d	0x694cdc	code	mov	data	mem	kept
0x4dd13	0x694d5c	code	mov	data	mem	kept
0x4dd19	0x694ce0	code	mov	data	mem	kept
0x4dd27	0x6993c4	code	mov	data	mem	kept
0x4dd5b	0x694cb0	code	mov	data	mem	kept
0x4dd6e	0x699260	code	mov	data	mem	kept
0x4dd79	0x694cb0	code	mov	data	mem	kept
0x4dda9	0x694cc4	code	mov	data	mem	kept
0x4ddbd	0x694cc8	code	mov	data	mem	kept
0x4ddcb	0x694cc4	code	mov	data	mem	kept
0x4dddb	0x694cc8	code	mov	data	mem	kept
0x4dde1	0x699280	code	mov	data	mem	kept
0x4ddfc	0x6994e0	code	mov	data	mem	kept
0x4de01	0x694cb8	code	mov	data	mem	kept
0x4de0b	0x694cb0	code	mov	data	mem	kept
0x4de23	0x6994e0	code	mov	data	mem	kept
0x4de51	0x699524	code	mov	data	mem	kept
0x4de6a	0x694cb0	code	mov	data	mem	kept
0x4de7b	0x63a38c	code	call	data	mem	kept
0x4de81	0x694cb0	code	mov	data	mem	kept
0x4de88	0x63a394	code	call	data	mem	kept
0x4de8d	0x694cb4	code	mov	data	mem	kept
0x4de9c	0x63a38c	code	call	data	mem	kept
0x4dea1	0x694cb4	code	mov	data	mem	kept
0x4dea8	0x63a394	code	call	data	mem	kept
0x4deb1	0x694cb4	code	mov	data	mem	kept
0x4deb9	0x694cb0	code	mov	data	mem	kept
0x4debf	0x694cdc	code	mov	data	mem	kept
0x4dec5	0x694d5c	code	mov	data	mem	kept
0x4decc	0x694ce0	code	mov	data	mem	kept
0x4dedc	0x6839ca	code	mov	data	mem	kept
0x4dee6	0x699280	code	mov	data	mem	kept
0x4df05	0x699280	code	mov	data	mem	kept
0x4df10	0x699260	code	mov	data	mem	kept
0x4df2c	0x694cdc	code	mov	data	mem	kept
0x4df36	0x694d5c	code	mov	data	mem	kept
0x4df52	0x6abaa0	code	mov	data	mem	kept
0x4df60	0x6abaa0	code	mov	data	mem	kept
0x4df65	0x404df0	code	push	code	imm	kept
0x4df76	0x628528	code	push	code	imm	kept
0x4dfc0	0x63b9c8	code	mov	data	imm	kept
0x4e056	0x628548	code	push	code	imm	kept
0x4e0a6	0x63b9c8	code	mov	data	imm	kept
0x4e108	0x63b9c8	code	mov	data	imm	kept
0x4e625	0x694d64	code	mov	data	mem	kept
0x4e635	0x694d60	code	mov	data	mem	kept
0x4e641	0x694d68	code	mov	data	mem	kept
0x4e6e2	0x694d64	code	mov	data	mem	kept
0x4e6ed	0x694d60	code	mov	data	mem	kept
0x4e6f8	0x694d68	code	mov	data	mem	kept
0x4e792	0x694d68	code	mov	data	mem	kept
0x4e7b0	0x694d60	code	mov	data	mem	kept
0x4e7d9	0x694d64	code	mov	data	mem	kept
0x4e866	0x63ac38	code	fcomp	data	mem	kept
0x4e88a	0x63ac38	code	fcomp	data	mem	kept
0x4e8d0	0x63b9e0	code	fadd	data	mem	kept
0x4e8e1	0x63b9dc	code	fadd	data	mem	kept
0x4e8ed	0x63b9d8	code	fmul	data	mem	kept
0x4e8f9	0x63ac38	code	fcomp	data	mem	kept
0x4e909	0x63b9d4	code	fadd	data	mem	kept
0x4e915	0x63b9d4	code	fdiv	data	mem	kept
0x4e98b	0x694d68	code	div	data	mem	kept
0x4e99b	0x694d60	code	div	data	mem	kept
0x4e9ab	0x694d64	code	div	data	mem	kept
0x4e9e1	0x63b9e4	code	fmul	data	mem	kept
0x4e9f0	0x63b6e0	code	fld	data	mem	kept
0x4ea0d	0x694d68	code	mov	data	mem	kept
0x4ea13	0x694d60	code	mov	data	mem	kept
0x4ea1e	0x694d64	code	mov	data	mem	kept
0x4ea95	0x63b6e0	code	fsubr	data	mem	kept
0x4eaa1	0x63b6e0	code	fld	data	mem	kept
0x4eaad	0x63b6e0	code	fsubr	data	mem	kept
0x4eac0	0x44ece0	code	jmp	code	mem	kept
0x4ec7d	0x694d60	code	mov	data	mem	kept
0x4ec84	0x694d64	code	mov	data	mem	kept
0x4ec9c	0x694d68	code	and	data	mem	kept
