# Reviewed whole Windows-only modules and library definitions, including RMG and Victor.
# Individual game-interface exclusions live in win_only.tsv; both lists are checked together.
file	function	signature	reason
include/rmg.h	TPoint::TPoint	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TPoint::TPoint	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TPoint::operator!=	bool (const TPoint &) __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TPoint::operator+=	TPoint &(const TRmgVector &) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TPoint::operator<	bool (const TPoint &) __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TPoint::operator==	bool (const TPoint &) __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgLinePainter::TRmgLinePainter	void (TRmgMapAdapterInterface *) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgLinePainter::~TRmgLinePainter	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgMapAdapter::TRmgMapAdapter	void (type_random_map *) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgMapItem::resetMovement	void (TRmgMapPosition) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgMapItem::setMovementCost	void (int, TRmgMapPosition) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgMapPosition::TRmgMapPosition	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	TRmgMapPosition::operator+	TRmgMapPosition (TPoint) __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgRiverDeltaOffset::TRmgRiverDeltaOffset	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgRiverDeltaOffset::~TRmgRiverDeltaOffset	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgZoneBounds::contains	bool (const TPoint &) __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
