# Reviewed binary operations; names are descriptive, not recovered source/linkage names.
# These observations do not map a source declaration, excuse a difference, or close any caller.
# Source names remain owned by ordinary declarations and MAC_ADDRESS annotations.
# Pinned Heroes PEF SHA-256: 650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86
offset	size	sha256	category	operation	evidence
0x151ff4	0x98	9116e86876dd008710698463229b9732536d20909a94566bf87df29ccc52d6fb	game_variant	insertResourceCacheEntry	Scans 0x4000 eight-byte entries for a null resource, hashes resource+4 through 0x15216c, stores hash/pointer and increments count at +0x20000. Windows addToCache uses TCacheMap::insert.
0x15208c	0x5c	fb45cc950fd198414e4eb4617cca68d058ea49c33cfd33f6ac6ce1e8d15398a8	game_variant	removeResourceCacheEntry	Scans the same 0x4000-entry cache for pointer equality, clears both words and decrements count. resource::dispose calls it; Windows erases a TCacheMap iterator.
0x1520e8	0x84	138f0658617cacbac5318fe6db80b58e90db9dd5f63a091118fda9ef4b83876e	game_variant	findResourceCacheEntry	Hashes the name through 0x15216c, scans cached hashes, tests names with 0x26b018 and returns the resource. Windows getFromCache uses TCacheMap::find.
0x17cde8	0xb8	5fd3896da3f384f8bc45b7610eac5876c27fce550193d732ca440e8ece5042c9	game_variant	bubbleSortMapPointers	Adjacent pointer comparisons via callback r5 with two extra arguments; swaps when callback returns false, repeats until unchanged or count passes. Six sortMaps branches call it; Windows uses std::sort on records.
0x187940	0x1cc	099b1ffb3cc693ad1c551faa82fa9bb46b6e99798ba5f11fd014f0d74baa7c17	library	selectionHeaderVectorPushBack	Grows capacity through 0x188cfc, copy-constructs a 0xc08-byte GameSelectionHeadersStruct in data+size*0xc08, then increments size. getHeaders, sortMaps and setFilter append records.
0x187d48	0x64	a96a8e7a4555616a28b571bd29a6f5da5df18478631f5735af4cbacfef0191d2	library	selectionHeaderVectorDestructor	Calls element cleanup at 0x187ccc, deletes backing pointer at +8, conditionally deletes receiver using the CodeWarrior destructor flag. Called for selection header vectors.
0x20ca9c	0xf0	14f65ed1f1e7138308eeb2cdc56754f4aef82d79801f38dfa83d0749a2145166	platform	blitSurfaceOrScreen	Copies point/rect arguments; null source calls screen-to-surface 0x27d384, null destination calls surface-to-screen 0x27d518, otherwise uses the lock/blit/unlock context at 0x26e908..0x26ea70.
0x20cdc4	0x20	e27eed785ba424416c0f478bf30ba09dff1db8d2ab185a0e11dc1119a9d9eb29	platform	setDefaultDisplayConfiguration	Writes 16-bit depth, width 1024 and height 768 into three TOC globals and returns true; called by earlySetup.
0x20ce24	0xa8	85c8785693644d736cef4d744f563414af8df9a095230db4b75dc1039973c328	platform	setWindowedDisplayMode	Compares saved display preference at config+0x64, switches mode with 0x27cf80, updates 800x600 screen, writes preferences and realigns video buffers.
0x20f10c	0x20	3add158cdfbbcff4caef4ff9bc443ce95545a9898a7e04a2415cebeec7569daf	platform	exitMacApplication	Forwards to 0x268f50, which sends core/unhk and core/kill notifications, shuts down services and calls imported ExitToShell. Used by earlyShutdown and quit paths.
